YEAR,age,gender,marital_status,race,birth_place,education,occupation,industry,hours_per_week,income
1990,33,2,0,0,0,0,36,1,40,0
1990,35,1,1,0,0,0,544,0,40,0
1990,43,1,0,0,0,1,226,2,40,1
1990,43,2,0,0,0,1,447,5,36,0
1990,35,2,2,0,0,1,313,4,40,0
1990,23,1,1,0,2,0,317,4,20,0
1990,32,1,0,0,0,1,13,3,40,1
1990,24,2,0,0,0,0,22,2,0,0
1990,36,1,0,0,0,0,418,6,37,1
1990,35,2,0,0,0,0,337,6,40,0
1990,38,1,0,0,0,1,567,0,40,0
1990,33,2,0,0,0,1,445,5,20,0
1990,49,1,0,0,0,0,613,0,84,1
1990,50,2,0,0,0,0,0,0,0,0
1990,50,1,1,0,0,0,446,5,0,0
1990,62,2,0,0,4,1,157,5,20,0
1990,62,1,0,0,3,1,259,3,30,0
1990,39,1,0,0,0,1,157,5,99,0
1990,38,2,0,0,0,1,95,5,20,0
1990,29,1,0,3,0,0,453,5,30,0
1990,22,2,0,3,0,0,446,5,30,0
1990,59,2,2,0,0,1,436,3,40,0
1990,60,1,0,0,0,0,0,0,0,0
1990,63,2,0,0,0,0,0,0,0,0
1990,38,1,0,0,0,0,869,0,0,0
1990,31,2,0,0,0,0,453,5,20,0
1990,47,1,1,3,0,0,0,0,0,0
1990,28,2,1,0,0,0,228,2,32,0
1990,42,1,0,0,0,1,5,6,40,0
1990,41,2,0,0,0,1,156,5,40,0
1990,37,1,3,0,0,1,844,5,70,0
1990,71,1,2,0,0,1,263,3,0,0
1990,67,1,0,0,0,1,175,5,40,0
1990,70,2,0,0,0,0,0,0,0,0
1990,42,1,0,0,0,0,243,4,40,0
1990,38,2,0,3,0,1,313,4,0,0
1990,29,1,0,0,0,0,889,2,45,0
1990,25,2,0,0,0,1,277,3,0,0
1990,66,1,0,0,0,1,26,5,48,0
1990,54,2,0,0,0,1,0,0,0,0
1990,48,1,0,1,0,1,355,2,0,0
1990,46,2,0,1,0,1,444,5,40,0
1990,67,2,3,0,0,0,0,0,0,0
1990,39,1,0,0,0,1,183,5,99,0
